DATE,CPIAUCNS_PC1
1914-01-01,1.36054
1914-04-01,1.02389
1914-07-01,2.01342
1914-10-01,0.99668
1915-01-01,0.67114
1915-04-01,2.02703
1915-07-01,-0.32895
1915-10-01,1.31579
1916-01-01,4.33333
1916-04-01,6.29139
1916-07-01,8.25083
1916-10-01,11.68831
1917-01-01,14.05751
1917-04-01,19.62617
1917-07-01,19.20732
1917-10-01,18.31395
1918-01-01,17.92717
1918-04-01,13.02083
1918-07-01,18.15857
1918-10-01,19.90172
1919-01-01,16.62708
1919-04-01,16.35945
1919-07-01,14.50216
1919-10-01,13.72951
1920-01-01,19.14460
1920-04-01,22.37624
1920-07-01,15.50095
1920-10-01,6.48649
1921-01-01,-4.78632
1921-04-01,-13.59223
1921-07-01,-13.42062
1921-10-01,-11.67513
1922-01-01,-9.33573
1922-04-01,-6.17978
1922-07-01,-5.48204
1922-10-01,-3.44828
1923-01-01,-0.19802
1923-04-01,1.39721
1923-07-01,3.00000
1923-10-01,2.97619
1924-01-01,2.38095
1924-04-01,0.39370
1924-07-01,-0.58252
1924-10-01,-0.38536
1925-01-01,0.38760
1925-04-01,1.96078
1925-07-01,3.71094
1925-10-01,3.67505
1926-01-01,3.47490
1926-04-01,2.69231
1926-07-01,-1.31827
1926-10-01,-1.11940
1927-01-01,-2.61194
1927-04-01,-2.05993
1927-07-01,-1.14504
1927-10-01,-1.88679
1928-01-01,-1.34100
1928-04-01,-1.72084
1928-07-01,-0.57915
1928-10-01,-0.96154
1929-01-01,-0.58252
1929-04-01,-0.77821
1929-07-01,0.77670
1929-10-01,0.58252
1930-01-01,-0.39063
1930-04-01,-0.58824
1930-07-01,-4.23892
1930-10-01,-5.40541
1931-01-01,-7.45098
1931-04-01,-9.46746
1931-07-01,-9.05433
1931-10-01,-9.79592
1932-01-01,-10.16949
1932-04-01,-10.23965
1932-07-01,-10.39823
1932-10-01,-10.40724
1933-01-01,-9.90566
1933-04-01,-8.00971
1933-07-01,-2.46914
1933-10-01,0.00000
1934-01-01,4.18848
1934-04-01,5.54090
1934-07-01,2.27848
1934-10-01,2.02020
1935-01-01,3.01508
1935-04-01,3.25000
1935-07-01,1.73267
1935-10-01,2.22772
1936-01-01,0.73171
1936-04-01,-0.24213
1936-07-01,1.94647
1936-10-01,1.69492
1937-01-01,2.66344
1937-04-01,4.61165
1937-07-01,4.05728
1937-10-01,3.57143
1938-01-01,0.00000
1938-04-01,-1.62413
1938-07-01,-2.98165
1938-10-01,-3.44828
1939-01-01,-1.41509
1939-04-01,-2.35849
