Term,Start Date,End Date,Result Count
bloom,1920-01-01,1921-01-01,130.0
bloom,1921-01-01,1922-01-01,89.0
bloom,1922-01-01,1923-01-01,65.0
bloom,1923-01-01,1924-01-01,63.0
bloom,1924-01-01,1925-01-01,66.0
bloom,1925-01-01,1926-01-01,100.0
bloom,1926-01-01,1927-01-01,64.0
bloom,1927-01-01,1928-01-01,94.0
bloom,1928-01-01,1929-01-01,73.0
bloom,1929-01-01,1930-01-01,69.0
bloom,1930-01-01,1931-01-01,52.0
bloom,1931-01-01,1932-01-01,63.0
bloom,1932-01-01,1933-01-01,56.0
bloom,1933-01-01,1934-01-01,48.0
bloom,1934-01-01,1935-01-01,43.0
bloom,1935-01-01,1936-01-01,55.0
bloom,1936-01-01,1937-01-01,47.0
bloom,1937-01-01,1938-01-01,49.0
bloom,1938-01-01,1939-01-01,55.0
bloom,1939-01-01,1940-01-01,
bloom,1940-01-01,1941-01-01,35.0
bloom,1941-01-01,1942-01-01,
bloom,1942-01-01,1943-01-01,30.0
bloom,1943-01-01,1944-01-01,34.0
bloom,1944-01-01,1945-01-01,31.0
bloom,1945-01-01,1946-01-01,46.0
bloom,1946-01-01,1947-01-01,22.0
bloom,1947-01-01,1948-01-01,25.0
bloom,1948-01-01,1949-01-01,35.0
bloom,1949-01-01,1950-01-01,37.0
bloom,1950-01-01,1951-01-01,
bloom,1951-01-01,1952-01-01,41.0
bloom,1952-01-01,1953-01-01,60.0
bloom,1953-01-01,1954-01-01,94.0
bloom,1954-01-01,1955-01-01,57.0
bloom,1955-01-01,1956-01-01,59.0
bloom,1956-01-01,1957-01-01,81.0
bloom,1957-01-01,1958-01-01,43.0
bloom,1958-01-01,1959-01-01,59.0
bloom,1959-01-01,1960-01-01,60.0
bloom,1960-01-01,1961-01-01,73.0
bloom,1961-01-01,1962-01-01,
bloom,1962-01-01,1963-01-01,
bloom,1963-01-01,1964-01-01,31.0
bloom,1964-01-01,1965-01-01,64.0
bloom,1965-01-01,1966-01-01,47.0
bloom,1966-01-01,1967-01-01,41.0
bloom,1967-01-01,1968-01-01,62.0
bloom,1968-01-01,1969-01-01,62.0
bloom,1969-01-01,1970-01-01,71.0
bloom,1970-01-01,1971-01-01,92.0
bloom,1971-01-01,1972-01-01,55.0
bloom,1972-01-01,1973-01-01,65.0
bloom,1973-01-01,1974-01-01,41.0
bloom,1974-01-01,1975-01-01,34.0
bloom,1975-01-01,1976-01-01,50.0
bloom,1976-01-01,1977-01-01,34.0
bloom,1977-01-01,1978-01-01,39.0
bloom,1978-01-01,1979-01-01,37.0
bloom,1979-01-01,1980-01-01,26.0
bloom,1980-01-01,1981-01-01,26.0
bloom,1981-01-01,1982-01-01,30.0
bloom,1982-01-01,1983-01-01,38.0
bloom,1983-01-01,1984-01-01,40.0
bloom,1984-01-01,1985-01-01,44.0
bloom,1985-01-01,1986-01-01,45.0
bloom,1986-01-01,1987-01-01,
bloom,1987-01-01,1988-01-01,46.0
bloom,1988-01-01,1989-01-01,24.0
bloom,1989-01-01,1990-01-01,39.0
bloom,1990-01-01,1991-01-01,20.0
bloom,1991-01-01,1992-01-01,21.0
bloom,1992-01-01,1993-01-01,61.0
bloom,1993-01-01,1994-01-01,26.0
bloom,1994-01-01,1995-01-01,24.0
bloom,1995-01-01,1996-01-01,14.0
bloom,1996-01-01,1997-01-01,28.0
bloom,1997-01-01,1998-01-01,38.0
bloom,1998-01-01,1999-01-01,16.0
bloom,1999-01-01,2000-01-01,40.0
bloom,2000-01-01,2001-01-01,41.0
bloom,2001-01-01,2002-01-01,17.0
bloom,2002-01-01,2003-01-01,20.0
bloom,2003-01-01,2004-01-01,29.0
bloom,2004-01-01,2005-01-01,31.0
bloom,2005-01-01,2006-01-01,57.0
bloom,2006-01-01,2007-01-01,34.0
bloom,2007-01-01,2008-01-01,69.0
bloom,2008-01-01,2009-01-01,52.0
bloom,2009-01-01,2010-01-01,57.0
bloom,2010-01-01,2011-01-01,18.0
bloom,2011-01-01,2012-01-01,30.0
bloom,2012-01-01,2013-01-01,54.0
bloom,2013-01-01,2014-01-01,80.0
bloom,2014-01-01,2015-01-01,53.0
bloom,2015-01-01,2016-01-01,81.0
bloom,2016-01-01,2017-01-01,22.0
bloom,2017-01-01,2018-01-01,32.0
bloom,2018-01-01,2019-01-01,19.0
bloom,2019-01-01,2020-01-01,14.0
bloom,2020-01-01,2021-01-01,7.0
bloom,2021-01-01,2022-01-01,9.0
bloom,2022-01-01,2023-01-01,0.0
