Term,Start Date,End Date,Result Count
Fitted,1900-01-01,1901-01-01,215.0
Fitted,1901-01-01,1902-01-01,320.0
Fitted,1902-01-01,1903-01-01,338.0
Fitted,1903-01-01,1904-01-01,363.0
Fitted,1904-01-01,1905-01-01,392.0
Fitted,1905-01-01,1906-01-01,247.0
Fitted,1906-01-01,1907-01-01,293.0
Fitted,1907-01-01,1908-01-01,290.0
Fitted,1908-01-01,1909-01-01,266.0
Fitted,1909-01-01,1910-01-01,264.0
Fitted,1910-01-01,1911-01-01,245.0
Fitted,1911-01-01,1912-01-01,271.0
Fitted,1912-01-01,1913-01-01,267.0
Fitted,1913-01-01,1914-01-01,328.0
Fitted,1914-01-01,1915-01-01,394.0
Fitted,1915-01-01,1916-01-01,344.0
Fitted,1916-01-01,1917-01-01,244.0
Fitted,1917-01-01,1918-01-01,260.0
Fitted,1918-01-01,1919-01-01,210.0
Fitted,1919-01-01,1920-01-01,187.0
Fitted,1920-01-01,1921-01-01,237.0
Fitted,1921-01-01,1922-01-01,222.0
Fitted,1922-01-01,1923-01-01,156.0
Fitted,1923-01-01,1924-01-01,129.0
Fitted,1924-01-01,1925-01-01,164.0
Fitted,1925-01-01,1926-01-01,162.0
Fitted,1926-01-01,1927-01-01,188.0
Fitted,1927-01-01,1928-01-01,215.0
Fitted,1928-01-01,1929-01-01,261.0
Fitted,1929-01-01,1930-01-01,240.0
Fitted,1930-01-01,1931-01-01,362.0
Fitted,1931-01-01,1932-01-01,267.0
Fitted,1932-01-01,1933-01-01,212.0
Fitted,1933-01-01,1934-01-01,157.0
Fitted,1934-01-01,1935-01-01,153.0
Fitted,1935-01-01,1936-01-01,167.0
Fitted,1936-01-01,1937-01-01,211.0
Fitted,1937-01-01,1938-01-01,240.0
Fitted,1938-01-01,1939-01-01,176.0
Fitted,1939-01-01,1940-01-01,174.0
Fitted,1941-01-01,1942-01-01,160.0
Fitted,1942-01-01,1943-01-01,119.0
Fitted,1943-01-01,1944-01-01,116.0
Fitted,1944-01-01,1945-01-01,77.0
Fitted,1945-01-01,1946-01-01,134.0
Fitted,1946-01-01,1947-01-01,149.0
Fitted,1947-01-01,1948-01-01,189.0
Fitted,1948-01-01,1949-01-01,228.0
Fitted,1949-01-01,1950-01-01,143.0
Fitted,1950-01-01,1951-01-01,166.0
Fitted,1951-01-01,1952-01-01,410.0
