Term,Start Date,End Date,Result Count
comfort,1935-01-01,1936-01-01,271
comfort,1936-01-01,1937-01-01,264
comfort,1937-01-01,1938-01-01,247
comfort,1938-01-01,1939-01-01,248
comfort,1939-01-01,1940-01-01,269
comfort,1940-01-01,1941-01-01,225
comfort,1941-01-01,1942-01-01,191
comfort,1942-01-01,1943-01-01,175
comfort,1943-01-01,1944-01-01,98
comfort,1944-01-01,1945-01-01,113
comfort,1945-01-01,1946-01-01,116
comfort,1946-01-01,1947-01-01,136
comfort,1947-01-01,1948-01-01,140
comfort,1948-01-01,1949-01-01,145
comfort,1949-01-01,1950-01-01,113
comfort,1950-01-01,1951-01-01,151
comfort,1951-01-01,1952-01-01,130
comfort,1952-01-01,1953-01-01,117
comfort,1953-01-01,1954-01-01,141
comfort,1954-01-01,1955-01-01,131
