Term,Start Date,End Date,Result Count
pant,1935-01-01,1936-01-01,3
pant,1936-01-01,1937-01-01,8
pant,1937-01-01,1938-01-01,4
pant,1938-01-01,1939-01-01,3
pant,1939-01-01,1940-01-01,1
pant,1940-01-01,1941-01-01,2
pant,1941-01-01,1942-01-01,2
pant,1942-01-01,1943-01-01,2
pant,1943-01-01,1944-01-01,2
pant,1944-01-01,1945-01-01,1
pant,1945-01-01,1946-01-01,0
pant,1946-01-01,1947-01-01,2
pant,1947-01-01,1948-01-01,3
pant,1948-01-01,1949-01-01,2
pant,1949-01-01,1950-01-01,0
pant,1950-01-01,1951-01-01,1
pant,1951-01-01,1952-01-01,0
pant,1952-01-01,1953-01-01,1
pant,1953-01-01,1954-01-01,0
pant,1954-01-01,1955-01-01,1
