Term,Start Date,End Date,Result Count
oversized,1935-01-01,1936-01-01,3
oversized,1936-01-01,1937-01-01,2
oversized,1937-01-01,1938-01-01,1
oversized,1938-01-01,1939-01-01,3
oversized,1939-01-01,1940-01-01,5
oversized,1940-01-01,1941-01-01,9
oversized,1941-01-01,1942-01-01,9
oversized,1942-01-01,1943-01-01,14
oversized,1943-01-01,1944-01-01,1
oversized,1944-01-01,1945-01-01,3
oversized,1945-01-01,1946-01-01,3
oversized,1946-01-01,1947-01-01,4
oversized,1947-01-01,1948-01-01,4
oversized,1948-01-01,1949-01-01,0
oversized,1949-01-01,1950-01-01,7
oversized,1950-01-01,1951-01-01,8
oversized,1951-01-01,1952-01-01,2
oversized,1952-01-01,1953-01-01,4
oversized,1953-01-01,1954-01-01,5
oversized,1954-01-01,1955-01-01,9
