Term,Start Date,End Date,Result Count
shoulder pads,1900-01-01,1910-01-01,32
shoulder pads,1910-01-01,1920-01-01,22
shoulder pads,1920-01-01,1930-01-01,27
shoulder pads,1930-01-01,1940-01-01,10
shoulder pads,1940-01-01,1950-01-01,86
shoulder pads,1950-01-01,1960-01-01,16
shoulder pads,1960-01-01,1970-01-01,48
shoulder pads,1970-01-01,1980-01-01,21
shoulder pads,1980-01-01,1990-01-01,69
shoulder pads,1990-01-01,2000-01-01,97
shoulder pads,2000-01-01,2010-01-01,113
shoulder pads,2010-01-01,2020-01-01,22
shoulder pads,2020-01-01,2030-01-01,3
