STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,UNIT_MEASURE,Unit of measure,TYPE,Type of patent counting,TECH,Technological domain,PAT,Regional patent office,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ENV.EPI:DSD_PAT_IND@DF_PAT_IND(1.0),Patents - indicators,I,AUS,Australia,A,Annual,PT_TECH,Percentage of technologies,DEV,Development of environment-related technologies,WAT_WASTE,Climate change mitigation technologies related to wastewater treatment or waste management,_Z,Not applicable,2013,,1.0642,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_IND@DF_PAT_IND(1.0),Patents - indicators,I,AUS,Australia,A,Annual,PT_TECH,Percentage of technologies,DEV,Development of environment-related technologies,WAT_WASTE,Climate change mitigation technologies related to wastewater treatment or waste management,_Z,Not applicable,2014,,0.7102839,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_IND@DF_PAT_IND(1.0),Patents - indicators,I,AUS,Australia,A,Annual,PT_TECH,Percentage of technologies,DEV,Development of environment-related technologies,WAT_WASTE,Climate change mitigation technologies related to wastewater treatment or waste management,_Z,Not applicable,2015,,0.7925791,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_IND@DF_PAT_IND(1.0),Patents - indicators,I,AUS,Australia,A,Annual,PT_TECH,Percentage of technologies,DEV,Development of environment-related technologies,WAT_WASTE,Climate change mitigation technologies related to wastewater treatment or waste management,_Z,Not applicable,2016,,1.207465,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_IND@DF_PAT_IND(1.0),Patents - indicators,I,AUS,Australia,A,Annual,PT_TECH,Percentage of technologies,DEV,Development of environment-related technologies,WAT_WASTE,Climate change mitigation technologies related to wastewater treatment or waste management,_Z,Not applicable,2017,,1.285565,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_IND@DF_PAT_IND(1.0),Patents - indicators,I,AUS,Australia,A,Annual,PT_TECH,Percentage of technologies,DEV,Development of environment-related technologies,WAT_WASTE,Climate change mitigation technologies related to wastewater treatment or waste management,_Z,Not applicable,2018,,0.7994172,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_IND@DF_PAT_IND(1.0),Patents - indicators,I,AUS,Australia,A,Annual,PT_TECH,Percentage of technologies,DEV,Development of environment-related technologies,WAT_WASTE,Climate change mitigation technologies related to wastewater treatment or waste management,_Z,Not applicable,2019,,1.438283,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_IND@DF_PAT_IND(1.0),Patents - indicators,I,AUS,Australia,A,Annual,PT_TECH,Percentage of technologies,DEV,Development of environment-related technologies,WAT_WASTE,Climate change mitigation technologies related to wastewater treatment or waste management,_Z,Not applicable,2020,,1.544,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_IND@DF_PAT_IND(1.0),Patents - indicators,I,AUS,Australia,A,Annual,PT_TECH,Percentage of technologies,DEV,Development of environment-related technologies,WAT_WASTE,Climate change mitigation technologies related to wastewater treatment or waste management,_Z,Not applicable,2021,,0.8557103,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_IND@DF_PAT_IND(1.0),Patents - indicators,I,AUS,Australia,A,Annual,PT_TECH,Percentage of technologies,DEV,Development of environment-related technologies,WAT_WASTE,Climate change mitigation technologies related to wastewater treatment or waste management,_Z,Not applicable,2010,,1.089944,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_IND@DF_PAT_IND(1.0),Patents - indicators,I,AUS,Australia,A,Annual,PT_TECH,Percentage of technologies,DEV,Development of environment-related technologies,WAT_WASTE,Climate change mitigation technologies related to wastewater treatment or waste management,_Z,Not applicable,2011,,0.9396359,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_IND@DF_PAT_IND(1.0),Patents - indicators,I,AUS,Australia,A,Annual,IX,Index,DEV,Development of environment-related technologies,ENE,"Climate change mitigation technologies related to energy generation, transmission or distribution",_Z,Not applicable,2013,,0.6997483,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_IND@DF_PAT_IND(1.0),Patents - indicators,I,AUS,Australia,A,Annual,IX,Index,DEV,Development of environment-related technologies,ENE,"Climate change mitigation technologies related to energy generation, transmission or distribution",_Z,Not applicable,2014,,0.9048724,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_IND@DF_PAT_IND(1.0),Patents - indicators,I,AUS,Australia,A,Annual,IX,Index,DEV,Development of environment-related technologies,ENE,"Climate change mitigation technologies related to energy generation, transmission or distribution",_Z,Not applicable,2015,,0.8582785,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_IND@DF_PAT_IND(1.0),Patents - indicators,I,AUS,Australia,A,Annual,IX,Index,DEV,Development of environment-related technologies,ENE,"Climate change mitigation technologies related to energy generation, transmission or distribution",_Z,Not applicable,2016,,0.7951983,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_IND@DF_PAT_IND(1.0),Patents - indicators,I,AUS,Australia,A,Annual,IX,Index,DEV,Development of environment-related technologies,ENE,"Climate change mitigation technologies related to energy generation, transmission or distribution",_Z,Not applicable,2017,,0.7834174,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_IND@DF_PAT_IND(1.0),Patents - indicators,I,AUS,Australia,A,Annual,IX,Index,DEV,Development of environment-related technologies,ENE,"Climate change mitigation technologies related to energy generation, transmission or distribution",_Z,Not applicable,2018,,0.7638088,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_IND@DF_PAT_IND(1.0),Patents - indicators,I,AUS,Australia,A,Annual,IX,Index,DEV,Development of environment-related technologies,ENE,"Climate change mitigation technologies related to energy generation, transmission or distribution",_Z,Not applicable,2019,,0.9295902,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_IND@DF_PAT_IND(1.0),Patents - indicators,I,AUS,Australia,A,Annual,IX,Index,DEV,Development of environment-related technologies,ENE,"Climate change mitigation technologies related to energy generation, transmission or distribution",_Z,Not applicable,2020,,1.01383,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_IND@DF_PAT_IND(1.0),Patents - indicators,I,AUS,Australia,A,Annual,IX,Index,DEV,Development of environment-related technologies,ENE,"Climate change mitigation technologies related to energy generation, transmission or distribution",_Z,Not applicable,2021,,0.845193,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_IND@DF_PAT_IND(1.0),Patents - indicators,I,AUS,Australia,A,Annual,IX,Index,DEV,Development of environment-related technologies,ENE,"Climate change mitigation technologies related to energy generation, transmission or distribution",_Z,Not applicable,2010,,0.8834583,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_IND@DF_PAT_IND(1.0),Patents - indicators,I,AUS,Australia,A,Annual,IX,Index,DEV,Development of environment-related technologies,ENE,"Climate change mitigation technologies related to energy generation, transmission or distribution",_Z,Not applicable,2011,,0.7676717,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_IND@DF_PAT_IND(1.0),Patents - indicators,I,AUS,Australia,A,Annual,PT_TECH_ENV,Percentage of environment related technologies,DEV,Development of environment-related technologies,BUILD,Climate change mitigation technologies related to buildings,_Z,Not applicable,2013,,10.46481,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_IND@DF_PAT_IND(1.0),Patents - indicators,I,AUS,Australia,A,Annual,PT_TECH_ENV,Percentage of environment related technologies,DEV,Development of environment-related technologies,BUILD,Climate change mitigation technologies related to buildings,_Z,Not applicable,2014,,14.26114,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_IND@DF_PAT_IND(1.0),Patents - indicators,I,AUS,Australia,A,Annual,PT_TECH_ENV,Percentage of environment related technologies,DEV,Development of environment-related technologies,BUILD,Climate change mitigation technologies related to buildings,_Z,Not applicable,2015,,10.17823,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_IND@DF_PAT_IND(1.0),Patents - indicators,I,AUS,Australia,A,Annual,PT_TECH_ENV,Percentage of environment related technologies,DEV,Development of environment-related technologies,BUILD,Climate change mitigation technologies related to buildings,_Z,Not applicable,2016,,8.911179,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_IND@DF_PAT_IND(1.0),Patents - indicators,I,AUS,Australia,A,Annual,PT_TECH_ENV,Percentage of environment related technologies,DEV,Development of environment-related technologies,BUILD,Climate change mitigation technologies related to buildings,_Z,Not applicable,2017,,8.824647,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_IND@DF_PAT_IND(1.0),Patents - indicators,I,AUS,Australia,A,Annual,PT_TECH_ENV,Percentage of environment related technologies,DEV,Development of environment-related technologies,BUILD,Climate change mitigation technologies related to buildings,_Z,Not applicable,2018,,6.429392,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_IND@DF_PAT_IND(1.0),Patents - indicators,I,AUS,Australia,A,Annual,PT_TECH_ENV,Percentage of environment related technologies,DEV,Development of environment-related technologies,BUILD,Climate change mitigation technologies related to buildings,_Z,Not applicable,2019,,7.330933,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_IND@DF_PAT_IND(1.0),Patents - indicators,I,AUS,Australia,A,Annual,PT_TECH_ENV,Percentage of environment related technologies,DEV,Development of environment-related technologies,BUILD,Climate change mitigation technologies related to buildings,_Z,Not applicable,2020,,4.805761,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_IND@DF_PAT_IND(1.0),Patents - indicators,I,AUS,Australia,A,Annual,PT_TECH_ENV,Percentage of environment related technologies,DEV,Development of environment-related technologies,BUILD,Climate change mitigation technologies related to buildings,_Z,Not applicable,2021,,4.380347,,A,Normal value,0,Units,2,Two
