"Data Source","World Development Indicators",

"Last Updated Date","2024-10-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98","","","","","","","","","","97","","","","","","","","","","97.9700012207031","","","",
"Africa Eastern and Southern","AFE","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.177848815918","67.4622573852539","67.7172622680664","68.0772094726562","68.1402282714844","68.3328323364258","68.6218872070312","68.9177780151367","69.3859634399414","69.6566009521484","70.0810012817383","70.1142272949219","70.9928588867188","71.217041015625","71.4027862548828","73.0177536010742","73.2928619384766","73.3683471679688","72.7468032836914","70.8047714233398","71.4326019287109","71.6098022460938","72.1174468994141","72.7055587768555","74.3397216796875","75.8296127319336","76.512939453125","76.9082565307617","77.0888214111328","77.4934921264648","77.13037109375","77.3904266357422","78.3043212890625","78.4078826904297","78.0601196289062","78.2144470214844","78.3432235717773",
"Afghanistan","AFG","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45","","","","50.212100982666","","","","","","52","","",
"Africa Western and Central","AFW","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","52.2818717956543","52.515380859375","53.213809967041","53.8570213317871","54.6083488464355","55.2869415283203","55.9686698913574","56.6433906555176","57.359920501709","58.1030006408691","57.9781494140625","58.6635704040527","59.5338706970215","61.0271987915039","61.6860885620117","59.4079704284668","60.5234489440918","61.0803298950195","61.3388786315918","62.9259605407715","62.8770904541016","63.3079414367676","60.7900085449219","61.0705604553223","61.3238487243652","61.428279876709","61.8234786987305","62.3775596618652","63.187198638916","63.6755409240723","64.3907775878906","64.6208190917969","65.6087188720703","68.4784317016602","68.0830764770508","68.1390991210938","68.4034881591797","68.6449737548828","68.8265762329102",
"Angola","AGO","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83","","","","","","","","","","","","","80","83.7727737426758","","","","","","","82.8000030517578","",
"Albania","ALB","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99","","","","","","","97","","","98","98","","","","","98.5719985961914","","","","","98.6999969482422","",
"Andorra","AND","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","60.7166404724121","61.1051406860352","61.5741996765137","62.0393600463867","62.6162796020508","62.4376602172852","63.1432418823242","63.82958984375","64.5152206420898","65.169548034668","65.8961029052734","66.6069717407227","67.3868789672852","68.3412017822266","69.2486190795898","70.4076919555664","71.1549987792969","71.9521331787109","72.8438186645508","73.6780014038086","74.6390991210938","75.4319305419922","76.1719818115234","77.0811920166016","77.8476791381836","80.8305969238281","81.3905181884766","81.7011184692383","78.5302200317383","79.1999435424805","79.8156433105469","78.6761093139648","79.1972808837891","80.6057205200195","81.3752212524414","81.8973083496094","82.2603530883789","82.8457107543945","81.2731475830078","81.6124725341797","81.8148574829102","81.9166412353516","82.1119537353516","82.4128570556641","82.5513610839844","82.7916107177734",
"United Arab Emirates","ARE","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","58","","","","","","","","","","72","","","","","","","","","","","","","","","","","","","","89","","","","","","","","","","","","","","98","","99","99","",
"Argentina","ARG","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","94","","","","","","","","","","","96","","","","","","","","","","97","","","","","","","","","","","","","","","","","","","","","","",
"Armenia","ARM","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99","","","","","","","","","","","","100","","","","","","","","","","100","","","","","100","100","","","100","","","",
"American Samoa","ASM","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
