year,description,price
2005,FIZZY BOTTLED DRINK 500ML,0.81999999
2006,FIZZY BOTTLED DRINK 500ML,0.85000002
2007,FIZZY BOTTLED DRINK 500ML,0.88999999
2008,FIZZY BOTTLED DRINK 500ML,0.94
2009,FIZZY BOTTLED DRINK 500ML,0.99000001
2010,BOTTLE STILL WATER 500ML,0.47
2010,FIZZY BOTTLED DRINK 500ML,1.0
2011,BOTTLE STILL WATER 500ML,0.47999999
2011,FIZZY BOTTLED DRINK 500ML,1.09
2012,BOTTLE STILL WATER 500ML,0.50999999
2012,FIZZY BOTTLED DRINK 500ML,1.15
2013,BOTTLE STILL WATER 500ML,0.5
2013,FIZZY BOTTLED DRINK 500ML,1.1900001
2014,BOTTLE STILL WATER 500ML,0.5
2014,FIZZY BOTTLED DRINK 500ML,1.25
2015,BOTTLE STILL WATER 500ML,0.5
2015,FIZZY BOTTLED DRINK 500ML,1.25
2016,BOTTLE STILL WATER 500ML,0.5
2016,FIZZY BOTTLED DRINK 500ML,1.25
2017,BOTTLE STILL WATER 500ML,0.5
2017,FIZZY BOTTLED DRINK 500ML,1.25
2018,BOTTLE STILL WATER 500ML,0.5
2018,FIZZY BOTTLED DRINK 500ML,1.3
2019,BOTTLE STILL WATER 500ML,0.51999998
2019,FIZZY BOTTLED DRINK 500ML,1.35
2020,BOTTLE STILL WATER 500ML,0.44999999
2020,FIZZY BOTTLED DRINK 500ML,1.45
2021,BOTTLE STILL WATER 500ML,0.38
2021,FIZZY BOTTLED DRINK 500ML,1.5
2022,BOTTLE STILL WATER 500ML,0.43000001
2022,FIZZY BOTTLED DRINK 500ML,1.59
2023,BOTTLE STILL WATER 500ML,0.41999999
2023,FIZZY BOTTLED DRINK 500ML,1.75
2024,BOTTLE STILL WATER 500ML,0.41
2024,FIZZY BOTTLED DRINK 500ML,1.75
