Entity,Code,Year,it_net_user_zs
East Asia and Pacific,,1990,0.0073482394
East Asia and Pacific,,1991,0.015138366
East Asia and Pacific,,1992,0.031765036
East Asia and Pacific,,1993,0.06306244
East Asia and Pacific,,1994,0.109100275
East Asia and Pacific,,1995,0.19508868
East Asia and Pacific,,1996,0.4719074
East Asia and Pacific,,1997,1.0940213
East Asia and Pacific,,1998,1.9024576
East Asia and Pacific,,1999,3.4426508
East Asia and Pacific,,2000,5.637984
East Asia and Pacific,,2001,7.316727
East Asia and Pacific,,2002,9.064518
East Asia and Pacific,,2003,10.611569
East Asia and Pacific,,2004,12.666021
East Asia and Pacific,,2005,14.730856
East Asia and Pacific,,2006,16.675707
East Asia and Pacific,,2007,20.808844
East Asia and Pacific,,2008,25.27512
East Asia and Pacific,,2009,29.513252
East Asia and Pacific,,2010,34.22893
East Asia and Pacific,,2011,37.35413
East Asia and Pacific,,2012,40.403923
East Asia and Pacific,,2013,43.26197
East Asia and Pacific,,2014,46.058704
East Asia and Pacific,,2015,48.862415
East Asia and Pacific,,2016,52.2355
East Asia and Pacific,,2017,54.376698
East Asia and Pacific,,2018,59.431576
East Asia and Pacific,,2019,63.667435
East Asia and Pacific,,2020,68.90106
East Asia and Pacific,,2021,72.24826
East Asia and Pacific,,2022,76.13632
Europe and Central Asia,,1990,0.048030835
Europe and Central Asia,,1991,0.10186751
Europe and Central Asia,,1992,0.18060224
Europe and Central Asia,,1993,0.2796513
Europe and Central Asia,,1994,0.5242345
Europe and Central Asia,,1995,0.9894896
Europe and Central Asia,,1996,1.8340969
Europe and Central Asia,,1997,3.3421965
Europe and Central Asia,,1998,5.4118757
Europe and Central Asia,,1999,9.202254
Europe and Central Asia,,2000,13.126985
Europe and Central Asia,,2001,16.336248
Europe and Central Asia,,2002,22.95681
Europe and Central Asia,,2003,28.252161
Europe and Central Asia,,2004,32.23747
Europe and Central Asia,,2005,35.09439
Europe and Central Asia,,2006,37.980858
Europe and Central Asia,,2007,43.58342
Europe and Central Asia,,2008,48.139385
Europe and Central Asia,,2009,52.733715
Europe and Central Asia,,2010,57.033653
Europe and Central Asia,,2011,60.18924
Europe and Central Asia,,2012,63.87281
Europe and Central Asia,,2013,66.18191
Europe and Central Asia,,2014,68.83336
Europe and Central Asia,,2015,69.88093
Europe and Central Asia,,2016,72.312706
Europe and Central Asia,,2017,74.49956
Europe and Central Asia,,2018,78.91556
Europe and Central Asia,,2019,81.29189
Europe and Central Asia,,2020,83.715416
Europe and Central Asia,,2021,86.514015
Europe and Central Asia,,2022,88.10103
Latin America and Caribbean,,1990,0.0
Latin America and Caribbean,,1991,0.0022112164
Latin America and Caribbean,,1992,0.009616999
Latin America and Caribbean,,1993,0.02112183
Latin America and Caribbean,,1994,0.043305334
Latin America and Caribbean,,1995,0.10557496
Latin America and Caribbean,,1996,0.31010798
Latin America and Caribbean,,1997,0.6091093
Latin America and Caribbean,,1998,1.2292743
Latin America and Caribbean,,1999,2.0488389
Latin America and Caribbean,,2000,3.8756082
Latin America and Caribbean,,2001,5.617785
Latin America and Caribbean,,2002,8.84659
Latin America and Caribbean,,2003,11.263015
Latin America and Caribbean,,2004,14.398612
Latin America and Caribbean,,2005,16.614693
Latin America and Caribbean,,2006,20.756285
Latin America and Caribbean,,2007,23.732958
Latin America and Caribbean,,2008,26.541864
Latin America and Caribbean,,2009,31.070803
Latin America and Caribbean,,2010,34.73541
Latin America and Caribbean,,2011,39.370743
