country,code,dates,rate,Gender,Country Name,Country Code,Date,Rates
Barbados,BRB,1970.0,99.0,Female,,,,
Grenada,GRD,1970.0,98.0,Female,,,,
St. Vincent and the Grenadines,VCT,1970.0,96.0,Female,,,,
Middle East & North Africa (excluding high income),MNA,1972.0,25.0855293273926,Female,,,,
Somalia,SOM,1972.0,3.68717002868652,Female,,,,
Middle East & North Africa (IDA & IBRD countries),TMN,1972.0,24.6529693603516,Female,,,,
Middle East & North Africa (excluding high income),MNA,1973.0,25.5720195770264,Female,,,,
Middle East & North Africa (IDA & IBRD countries),TMN,1973.0,25.1435604095459,Female,,,,
Latin America & Caribbean (excluding high income),LAC,1974.0,74.8664779663086,Female,,,,
Latin America & Caribbean,LCN,1974.0,75.9799194335938,Female,,,,
Middle East & North Africa,MEA,1974.0,29.3330001831055,Female,,,,
Middle East & North Africa (excluding high income),MNA,1974.0,26.0783004760742,Female,,,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,1974.0,75.1483612060547,Female,,,,
Middle East & North Africa (IDA & IBRD countries),TMN,1974.0,25.6541004180908,Female,,,,
United Arab Emirates,ARE,1975.0,38.0,Female,,,,
Burkina Faso,BFA,1975.0,3.0,Female,,,,
Central African Republic,CAF,1975.0,8.0,Female,,,,
Early-demographic dividend,EAR,1975.0,37.3548011779785,Female,,,,
IBRD only,IBD,1975.0,50.6502685546875,Female,,,,
IDA & IBRD total,IBT,1975.0,47.5999488830566,Female,,,,
Kuwait,KWT,1975.0,48.0,Female,,,,
Latin America & Caribbean (excluding high income),LAC,1975.0,74.8897094726562,Female,,,,
Latin America & Caribbean,LCN,1975.0,76.0022277832031,Female,,,,
Lower middle income,LMC,1975.0,31.6221408843994,Female,,,,
Low & middle income,LMY,1975.0,46.7770004272461,Female,,,,
Middle East & North Africa,MEA,1975.0,29.8581104278564,Female,,,,
Middle income,MIC,1975.0,47.707950592041,Female,,,,
Middle East & North Africa (excluding high income),MNA,1975.0,26.6405696868896,Female,,,,
South Asia,SAS,1975.0,21.274169921875,Female,,,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,1975.0,75.1715698242188,Female,,,,
Middle East & North Africa (IDA & IBRD countries),TMN,1975.0,26.2210998535156,Female,,,,
South Asia (IDA & IBRD),TSA,1975.0,21.274169921875,Female,,,,
Turkiye,TUR,1975.0,45.0,Female,,,,
Uruguay,URY,1975.0,94.0,Female,,,,
Bolivia,BOL,1976.0,51.0,Female,,,,
Cameroon,CMR,1976.0,29.0,Female,,,,
East Asia & Pacific (excluding high income),EAP,1976.0,49.9351806640625,Female,,,,
Early-demographic dividend,EAR,1976.0,37.6319007873535,Female,,,,
East Asia & Pacific,EAS,1976.0,52.9263191223145,Female,,,,
"Egypt, Arab Rep.",EGY,1976.0,22.0,Female,,,,
IBRD only,IBD,1976.0,50.8727912902832,Female,,,,
IDA & IBRD total,IBT,1976.0,47.7967414855957,Female,,,,
"Iran, Islamic Rep.",IRN,1976.0,24.0,Female,,,,
Latin America & Caribbean (excluding high income),LAC,1976.0,75.3757171630859,Female,,,,
Latin America & Caribbean,LCN,1976.0,76.4456024169922,Female,,,,
Lower middle income,LMC,1976.0,31.7480392456055,Female,,,,
Low & middle income,LMY,1976.0,46.9760894775391,Female,,,,
Late-demographic dividend,LTE,1976.0,58.2189788818359,Female,,,,
Middle East & North Africa,MEA,1976.0,30.399019241333,Female,,,,
Middle income,MIC,1976.0,47.9103698730469,Female,,,,
Mali,MLI,1976.0,6.0,Female,,,,
Middle East & North Africa (excluding high income),MNA,1976.0,27.2224102020264,Female,,,,
New Caledonia,NCL,1976.0,90.0,Female,,,,
South Asia,SAS,1976.0,21.277250289917,Female,,,,
Eswatini,SWZ,1976.0,54.0,Female,,,,
East Asia & Pacific (IDA & IBRD countries),TEA,1976.0,49.2014389038086,Female,,,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,1976.0,75.6297378540039,Female,,,,
Middle East & North Africa (IDA & IBRD countries),TMN,1976.0,26.8078193664551,Female,,,,
Tonga,TON,1976.0,100.0,Female,,,,
South Asia (IDA & IBRD),TSA,1976.0,21.277250289917,Female,,,,
Upper middle income,UMC,1976.0,54.7662010192871,Female,,,,
World,WLD,1976.0,56.6814117431641,Female,,,,
East Asia & Pacific (excluding high income),EAP,1977.0,50.1523284912109,Female,,,,
Early-demographic dividend,EAR,1977.0,38.3404083251953,Female,,,,
East Asia & Pacific,EAS,1977.0,53.1723785400391,Female,,,,
IBRD only,IBD,1977.0,51.2799301147461,Female,,,,
