year,AFR,EAP,ECA,LAC,MNA,SAR
1988,null,null,null,null,null,null
1989,null,null,null,null,null,null
1990,null,null,null,null,null,null
1991,null,null,null,null,null,null
1992,null,null,null,null,null,null
1993,null,null,null,null,null,null
1994,null,null,null,null,null,null
1995,null,null,null,null,null,null
1996,null,null,null,null,null,null
1997,10,null,15,13,4,6
1998,11,16,15,15,4,6
1999,11,17,16,14,4,7
2000,12,16,17,15,4,8
2001,12,17,17,14,4,8
2002,13,17,18,16,6,9
2003,14,16,18,18,6,9
2004,15,17,19,19,7,9
2005,16,17,19,20,6,13
2006,17,17,20,20,8,13
2007,17,18,21,21,8,14
2008,18,18,21,22,8,18
2009,18,18,22,23,9,20
2010,19,18,22,23,10,20
2011,21,18,23,23,10,20
2012,21,18,24,24,13,20
2013,22,19,25,26,16,16
2014,22,19,25,27,16,19
2015,24,19,26,28,16,19
2016,24,19,26,29,17,19
2017,24,20,27,30,16,19
2018,24,20,28,31,17,17
2019,24,21,29,32,16,19
