"General government debt"
" % of GDP, 2007"
"Category","Government gross debt"
"Japan",153.13
"Greece",113
"Italy",110.3
"Belgium",94.61
"Portugal",80.51
"Israel",78.84
"France",77.12
"Iceland",73.46
"OECD",72.55
"Hungary",71.86
"Canada",71.33
"Austria",68.96
"Germany",66.86
"United States",64.51
"Norway",55.85
"United Kingdom",54.73
"Poland",51.56
"Netherlands",50.47
"Sweden",47.61
"Switzerland",45.94
"Spain",42.35
"Mexico",41.2
"Finland",41.08
"Slovak Rep.",36.07
"Denmark",34.59
"Czechia",30.56
"Slovenia",30.34
"Ireland",27.48
"Korea",26.47
"New Zealand",25.73
"Lithuania",19.4
"Luxembourg",17.05
"Latvia",13.47
"Australia",12.79
"Chile",11.38
"Estonia",7.19
"Türkiye",
"OECD average country",
