"General government debt"
" % of GDP, 2022"
"Category","Government gross debt"
"Japan",242.89
"Greece",193.14
"Italy",147.68
"United States",119.93
"France",116.06
"Spain",116.06
"Portugal",115.17
"OECD",108.71
"United Kingdom",104.88
"Belgium",104.02
"Canada",102.01
"Austria",80.37
"OECD average country",78.2
"Hungary",77.42
"Finland",74.5
"Iceland",74.49
"Slovenia",71.81
"Germany",65.26
"Slovak Rep.",64.03
"Poland",58.72
"New Zealand",56.73
"Netherlands",54.3
"Mexico",53.95
"Australia",53.1
"Latvia",52.22
"Czechia",47.67
"Ireland",46.41
"Sweden",43.66
"Norway",41.37
"Chile",41.12
"Lithuania",37.86
"Switzerland",37.54
"Türkiye",35.94
"Denmark",34.68
"Luxembourg",29.5
"Estonia",25.52
"Korea",
"Israel",
