Term,Start Date,End Date,Result Count
sequins,1920-01-01,1921-01-01,24
sequins,1921-01-01,1922-01-01,13
sequins,1922-01-01,1923-01-01,4
sequins,1923-01-01,1924-01-01,2
sequins,1924-01-01,1925-01-01,2
sequins,1925-01-01,1926-01-01,10
sequins,1926-01-01,1927-01-01,25
sequins,1927-01-01,1928-01-01,10
sequins,1928-01-01,1929-01-01,8
sequins,1929-01-01,1930-01-01,3
fur,1920-01-01,1921-01-01,524
fur,1921-01-01,1922-01-01,622
fur,1922-01-01,1923-01-01,640
fur,1923-01-01,1924-01-01,447
fur,1924-01-01,1925-01-01,475
fur,1925-01-01,1926-01-01,530
fur,1926-01-01,1927-01-01,443
fur,1927-01-01,1928-01-01,422
fur,1928-01-01,1929-01-01,457
fur,1929-01-01,1930-01-01,437
glitter,1920-01-01,1921-01-01,13
glitter,1921-01-01,1922-01-01,18
glitter,1922-01-01,1923-01-01,10
glitter,1923-01-01,1924-01-01,7
glitter,1924-01-01,1925-01-01,15
glitter,1925-01-01,1926-01-01,17
glitter,1926-01-01,1927-01-01,16
glitter,1927-01-01,1928-01-01,15
glitter,1928-01-01,1929-01-01,18
glitter,1929-01-01,1930-01-01,19
