year,AFR,EAP,ECA,LAC,MNA,SAR
1997,10.0,,15.0,13.0,4.0,6.0
1998,11.0,16.0,15.0,15.0,4.0,6.0
1999,11.0,17.0,16.0,14.0,4.0,7.0
2000,12.0,16.0,17.0,15.0,4.0,8.0
2001,12.0,17.0,17.0,14.0,4.0,8.0
2002,13.0,17.0,18.0,16.0,6.0,9.0
2003,14.0,16.0,18.0,18.0,6.0,9.0
2004,15.0,17.0,19.0,19.0,7.0,9.0
2005,16.0,17.0,19.0,20.0,6.0,13.0
2006,17.0,17.0,20.0,20.0,8.0,13.0
2007,17.0,18.0,21.0,21.0,8.0,14.0
2008,18.0,18.0,21.0,22.0,8.0,18.0
2009,18.0,18.0,22.0,23.0,9.0,20.0
2010,19.0,18.0,22.0,23.0,10.0,20.0
2011,21.0,18.0,23.0,23.0,10.0,20.0
2012,21.0,18.0,24.0,24.0,13.0,20.0
2013,22.0,19.0,25.0,26.0,16.0,16.0
2014,22.0,19.0,25.0,27.0,16.0,19.0
2015,24.0,19.0,26.0,28.0,16.0,19.0
2016,24.0,19.0,26.0,29.0,17.0,19.0
2017,24.0,20.0,27.0,30.0,16.0,19.0
2018,24.0,20.0,28.0,31.0,17.0,17.0
2019,24.0,21.0,29.0,32.0,16.0,19.0
