year,Entity,Value
1997,AFR,10.0
1998,AFR,11.0
1999,AFR,11.0
2000,AFR,12.0
2001,AFR,12.0
2002,AFR,13.0
2003,AFR,14.0
2004,AFR,15.0
2005,AFR,16.0
2006,AFR,17.0
2007,AFR,17.0
2008,AFR,18.0
2009,AFR,18.0
2010,AFR,19.0
2011,AFR,21.0
2012,AFR,21.0
2013,AFR,22.0
2014,AFR,22.0
2015,AFR,24.0
2016,AFR,24.0
2017,AFR,24.0
2018,AFR,24.0
2019,AFR,24.0
1997,EAP,
1998,EAP,16.0
1999,EAP,17.0
2000,EAP,16.0
2001,EAP,17.0
2002,EAP,17.0
2003,EAP,16.0
2004,EAP,17.0
2005,EAP,17.0
2006,EAP,17.0
2007,EAP,18.0
2008,EAP,18.0
2009,EAP,18.0
2010,EAP,18.0
2011,EAP,18.0
2012,EAP,18.0
2013,EAP,19.0
2014,EAP,19.0
2015,EAP,19.0
2016,EAP,19.0
2017,EAP,20.0
2018,EAP,20.0
2019,EAP,21.0
1997,ECA,15.0
1998,ECA,15.0
1999,ECA,16.0
2000,ECA,17.0
2001,ECA,17.0
2002,ECA,18.0
2003,ECA,18.0
2004,ECA,19.0
2005,ECA,19.0
2006,ECA,20.0
2007,ECA,21.0
2008,ECA,21.0
2009,ECA,22.0
2010,ECA,22.0
2011,ECA,23.0
2012,ECA,24.0
2013,ECA,25.0
2014,ECA,25.0
2015,ECA,26.0
2016,ECA,26.0
2017,ECA,27.0
2018,ECA,28.0
2019,ECA,29.0
1997,LAC,13.0
1998,LAC,15.0
1999,LAC,14.0
2000,LAC,15.0
2001,LAC,14.0
2002,LAC,16.0
2003,LAC,18.0
2004,LAC,19.0
2005,LAC,20.0
2006,LAC,20.0
2007,LAC,21.0
2008,LAC,22.0
2009,LAC,23.0
2010,LAC,23.0
2011,LAC,23.0
2012,LAC,24.0
2013,LAC,26.0
2014,LAC,27.0
2015,LAC,28.0
2016,LAC,29.0
2017,LAC,30.0
2018,LAC,31.0
2019,LAC,32.0
1997,MNA,4.0
1998,MNA,4.0
1999,MNA,4.0
2000,MNA,4.0
2001,MNA,4.0
2002,MNA,6.0
2003,MNA,6.0
2004,MNA,7.0
2005,MNA,6.0
2006,MNA,8.0
2007,MNA,8.0
2008,MNA,8.0
2009,MNA,9.0
2010,MNA,10.0
2011,MNA,10.0
2012,MNA,13.0
2013,MNA,16.0
2014,MNA,16.0
2015,MNA,16.0
2016,MNA,17.0
2017,MNA,16.0
2018,MNA,17.0
2019,MNA,16.0
1997,SAR,6.0
1998,SAR,6.0
1999,SAR,7.0
2000,SAR,8.0
2001,SAR,8.0
2002,SAR,9.0
2003,SAR,9.0
2004,SAR,9.0
2005,SAR,13.0
2006,SAR,13.0
2007,SAR,14.0
2008,SAR,18.0
2009,SAR,20.0
2010,SAR,20.0
2011,SAR,20.0
2012,SAR,20.0
2013,SAR,16.0
2014,SAR,19.0
2015,SAR,19.0
2016,SAR,19.0
2017,SAR,19.0
2018,SAR,17.0
2019,SAR,19.0
