Entity,Code,Year,fruit__00002919__food_available_for_consumption__0645pc__kilograms_per_year_per_capita,ny_gdp_pcap_pp_kd,population_historical,owid_region
Brazil,BRA,1961,192.4020876,,74605442.0,
Brazil,BRA,1962,202.51727710000003,,76865320.0,
Brazil,BRA,1963,212.96378740000003,,79164239.0,
Brazil,BRA,1964,210.2949589,,81488598.0,
Brazil,BRA,1965,216.8994549,,83817586.0,
Brazil,BRA,1966,216.93977400000003,,86139354.0,
Brazil,BRA,1967,229.59756020000003,,88446120.0,
Brazil,BRA,1968,235.6792094,,90741242.0,
Brazil,BRA,1969,250.67301000000003,,93045769.0,
Brazil,BRA,1970,255.530071,,95375656.0,
Brazil,BRA,1971,244.9634802,,97739280.0,
Brazil,BRA,1972,269.74630344,,100146796.0,
Brazil,BRA,1973,215.1363608,,102600971.0,
Brazil,BRA,1974,245.4981364,,105089675.0,
Brazil,BRA,1975,230.3701032,,107619568.0,
Brazil,BRA,1976,257.9803434,,110213352.0,
Brazil,BRA,1977,250.0523178,,112875286.0,
Brazil,BRA,1978,223.71056060000004,,115600942.0,
Brazil,BRA,1979,238.1267692,,118380820.0,
Brazil,BRA,1980,257.08693900000003,,121207450.0,
Brazil,BRA,1981,200.1390941,,124063113.0,
Brazil,BRA,1982,239.66652864,,126923156.0,
Brazil,BRA,1983,221.1383856,,129790082.0,
Brazil,BRA,1984,172.10718160000002,,132658862.0,
Brazil,BRA,1985,300.35666280000004,,135515593.0,
Brazil,BRA,1986,208.0514058,,138336371.0,
Brazil,BRA,1987,245.66399956000004,,141104946.0,
Brazil,BRA,1988,280.22773504,,143826358.0,
Brazil,BRA,1989,305.6439586,,146502977.0,
Brazil,BRA,1990,245.1129335,10401.843,149143224.0,
Brazil,BRA,1991,275.9653609,10328.957,151724253.0,
Brazil,BRA,1992,277.63359620000006,10103.788,154275077.0,
Brazil,BRA,1993,223.79276060000004,10431.409,156794574.0,
Brazil,BRA,1994,211.42131536,10867.751,159265011.0,
Brazil,BRA,1995,292.4649696,11151.191,161735079.0,
Brazil,BRA,1996,290.6820516,11224.399,164202549.0,
Brazil,BRA,1997,332.55617010000003,11432.65,166661663.0,
Brazil,BRA,1998,285.6872782,11304.097,169159651.0,
Brazil,BRA,1999,322.35425960000003,11196.839,171641544.0,
Brazil,BRA,2000,297.5591228,11529.486,174018276.0,
Brazil,BRA,2001,230.2676546,11536.364,176301200.0,
Brazil,BRA,2002,303.05081164,11739.432,178503483.0,
Brazil,BRA,2003,269.38582356,11733.411,180622688.0,
