Entity,Code,Year,milexgdp
China,CHN,1900,1.9052224
China,CHN,1901,1.5043612
China,CHN,1902,1.8276442
China,CHN,1903,1.9981213
China,CHN,1904,1.9350191
China,CHN,1905,2.3095515
China,CHN,1906,1.947793
China,CHN,1907,2.2358396
China,CHN,1908,2.1827328
China,CHN,1909,2.5849009
China,CHN,1910,2.2251627
China,CHN,1911,2.1607168
China,CHN,1912,2.4704387
China,CHN,1913,2.9018857
China,CHN,1914,2.1858997
China,CHN,1915,3.0573335
China,CHN,1916,2.9959629
China,CHN,1917,4.1106663
China,CHN,1918,3.8183174
China,CHN,1919,3.4892256
China,CHN,1920,2.497096
China,CHN,1921,3.219643
China,CHN,1922,3.452427
China,CHN,1923,3.0460422
China,CHN,1924,2.6487308
China,CHN,1925,2.3690343
China,CHN,1926,2.0200775
China,CHN,1927,1.6342851
China,CHN,1928,1.6404678
China,CHN,1929,1.634064
China,CHN,1930,1.6701059
China,CHN,1931,1.4979844
China,CHN,1932,1.5847163
China,CHN,1933,1.9973466
China,CHN,1934,2.670687
China,CHN,1935,2.8581302
China,CHN,1936,2.84673
China,CHN,1937,3.4273188
China,CHN,1938,2.8854313
China,CHN,1939,3.2154727
China,CHN,1940,3.4966073
China,CHN,1941,3.5041869
China,CHN,1942,2.4872918
China,CHN,1943,3.5536675
China,CHN,1944,3.8251395
China,CHN,1945,5.074445
China,CHN,1946,6.0261173
China,CHN,1947,5.5022244
China,CHN,1948,7.4642167
China,CHN,1949,20.47517
China,CHN,1950,22.639563
China,CHN,1951,26.170422
China,CHN,1952,25.569063
China,CHN,1953,22.417099
China,CHN,1954,19.887293
China,CHN,1955,20.129662
China,CHN,1956,26.886427
China,CHN,1957,34.721188
China,CHN,1958,29.349285
China,CHN,1959,39.23628
China,CHN,1960,35.616398
China,CHN,1961,45.28799
China,CHN,1962,51.203434
China,CHN,1963,42.90103
China,CHN,1964,39.081184
China,CHN,1965,41.399773
China,CHN,1966,42.49938
China,CHN,1967,44.221024
China,CHN,1968,42.183357
China,CHN,1969,43.583416
China,CHN,1970,45.40699
China,CHN,1971,45.457233
China,CHN,1972,41.876972
China,CHN,1973,41.608643
China,CHN,1974,38.216587
China,CHN,1975,31.426477
China,CHN,1976,37.472622
China,CHN,1977,31.503286
China,CHN,1978,29.224539
China,CHN,1979,24.02861
China,CHN,1980,20.792246
China,CHN,1981,11.301406
China,CHN,1982,11.783285
China,CHN,1983,12.0324745
China,CHN,1984,7.7324786
China,CHN,1985,6.6443205
China,CHN,1986,4.563259
