Entity,Code,Year,ny_gdp_pcap_pp_kd
Brazil,BRA,1990,10401.843
Brazil,BRA,1991,10328.957
Brazil,BRA,1992,10103.788
Brazil,BRA,1993,10431.409
Brazil,BRA,1994,10867.751
Brazil,BRA,1995,11151.191
Brazil,BRA,1996,11224.399
Brazil,BRA,1997,11432.65
Brazil,BRA,1998,11304.097
Brazil,BRA,1999,11196.839
Brazil,BRA,2000,11529.486
Brazil,BRA,2001,11536.364
Brazil,BRA,2002,11739.432
Brazil,BRA,2003,11733.411
Brazil,BRA,2004,12268.664
Brazil,BRA,2005,12520.855
Brazil,BRA,2006,12877.444
Brazil,BRA,2007,13518.848
Brazil,BRA,2008,14067.946
Brazil,BRA,2009,13916.963
Brazil,BRA,2010,14824.741
Brazil,BRA,2011,15271.47
Brazil,BRA,2012,15425.353
Brazil,BRA,2013,15751.484
Brazil,BRA,2014,15695.644
Brazil,BRA,2015,15011.577
Brazil,BRA,2016,14402.494
Brazil,BRA,2017,14477.861
Brazil,BRA,2018,14619.591
Brazil,BRA,2019,14685.128
Brazil,BRA,2020,14109.764
Brazil,BRA,2021,14735.582
Brazil,BRA,2022,15093.465
France,FRA,1990,33843.02
France,FRA,1991,33898.234
France,FRA,1992,34269.285
France,FRA,1993,33906.223
France,FRA,1994,34576.344
France,FRA,1995,35176.62
France,FRA,1996,35546.582
France,FRA,1997,36247.605
France,FRA,1998,37409.395
France,FRA,1999,38490.04
France,FRA,2000,39726.49
France,FRA,2001,40220.1
France,FRA,2002,40381.46
France,FRA,2003,40425.637
France,FRA,2004,41265.125
France,FRA,2005,41638.03
France,FRA,2006,42362.984
France,FRA,2007,43123.5
France,FRA,2008,42993.06
France,FRA,2009,41544.023
France,FRA,2010,42145.684
France,FRA,2011,42862.414
France,FRA,2012,42789.05
France,FRA,2013,42813.934
France,FRA,2014,43021.395
France,FRA,2015,43345.785
France,FRA,2016,43705.15
France,FRA,2017,44577.066
France,FRA,2018,45245.96
France,FRA,2019,45922.793
France,FRA,2020,42344.945
France,FRA,2021,44941.438
France,FRA,2022,45904.41
India,IND,1990,1819.0216
India,IND,1991,1800.0109
India,IND,1992,1859.7148
India,IND,1993,1908.5782
India,IND,1994,1994.944
India,IND,1995,2103.727
India,IND,1996,2218.8245
India,IND,1997,2264.7957
India,IND,1998,2359.8926
India,IND,1999,2521.5767
India,IND,2000,2571.1497
India,IND,2001,2646.8782
India,IND,2002,2699.1782
India,IND,2003,2861.5747
India,IND,2004,3037.0637
India,IND,2005,3225.5444
India,IND,2006,3432.8193
India,IND,2007,3642.0024
India,IND,2008,3701.3955
India,IND,2009,3937.2375
India,IND,2010,4213.363
India,IND,2011,4374.2324
India,IND,2012,4551.8623
India,IND,2013,4780.12
India,IND,2014,5071.047
India,IND,2015,5411.8755
India,IND,2016,5789.678
India,IND,2017,6112.0664
India,IND,2018,6436.1533
India,IND,2019,6617.13
India,IND,2020,6172.0425
India,IND,2021,6677.185
India,IND,2022,7112.0396
Japan,JPN,1990,32846.39
Japan,JPN,1991,33870.375
Japan,JPN,1992,34048.785
Japan,JPN,1993,33782.734
Japan,JPN,1994,34053.523
Japan,JPN,1995,34867.582
Japan,JPN,1996,35878.79
Japan,JPN,1997,36144.617
Japan,JPN,1998,35588.625
Japan,JPN,1999,35405.082
Japan,JPN,2000,36323.094
Japan,JPN,2001,36375.586
Japan,JPN,2002,36306.332
Japan,JPN,2003,36784.883
Japan,JPN,2004,37576.39
Japan,JPN,2005,38250.637
Japan,JPN,2006,38751.004
Japan,JPN,2007,39280.895
Japan,JPN,2008,38781.2
Japan,JPN,2009,36577.863
Japan,JPN,2010,38069.957
Japan,JPN,2011,38149.617
Japan,JPN,2012,38735.895
Japan,JPN,2013,39569.637
Japan,JPN,2014,39739.543
Japan,JPN,2015,40402.582
Japan,JPN,2016,40727.97
Japan,JPN,2017,41444.215
Japan,JPN,2018,41763.82
Japan,JPN,2019,41654.33
Japan,JPN,2020,40044.508
Japan,JPN,2021,41258.71
Japan,JPN,2022,41837.91
