country,code,dates,rate,Gender
Barbados,BRB,1970,99.0,Female
Grenada,GRD,1970,98.0,Female
St. Vincent and the Grenadines,VCT,1970,96.0,Female
Middle East & North Africa (excluding high income),MNA,1972,25.0855293273926,Female
Somalia,SOM,1972,3.68717002868652,Female
Middle East & North Africa (IDA & IBRD countries),TMN,1972,24.6529693603516,Female
Middle East & North Africa (excluding high income),MNA,1973,25.5720195770264,Female
Middle East & North Africa (IDA & IBRD countries),TMN,1973,25.1435604095459,Female
Latin America & Caribbean (excluding high income),LAC,1974,74.8664779663086,Female
Latin America & Caribbean,LCN,1974,75.9799194335938,Female
Middle East & North Africa,MEA,1974,29.3330001831055,Female
Middle East & North Africa (excluding high income),MNA,1974,26.0783004760742,Female
Latin America & the Caribbean (IDA & IBRD countries),TLA,1974,75.1483612060547,Female
Middle East & North Africa (IDA & IBRD countries),TMN,1974,25.6541004180908,Female
United Arab Emirates,ARE,1975,38.0,Female
Burkina Faso,BFA,1975,3.0,Female
Central African Republic,CAF,1975,8.0,Female
Early-demographic dividend,EAR,1975,37.3548011779785,Female
IBRD only,IBD,1975,50.6502685546875,Female
IDA & IBRD total,IBT,1975,47.5999488830566,Female
Kuwait,KWT,1975,48.0,Female
Latin America & Caribbean (excluding high income),LAC,1975,74.8897094726562,Female
Latin America & Caribbean,LCN,1975,76.0022277832031,Female
Lower middle income,LMC,1975,31.6221408843994,Female
Low & middle income,LMY,1975,46.7770004272461,Female
Middle East & North Africa,MEA,1975,29.8581104278564,Female
Middle income,MIC,1975,47.707950592041,Female
Middle East & North Africa (excluding high income),MNA,1975,26.6405696868896,Female
South Asia,SAS,1975,21.274169921875,Female
Latin America & the Caribbean (IDA & IBRD countries),TLA,1975,75.1715698242188,Female
Middle East & North Africa (IDA & IBRD countries),TMN,1975,26.2210998535156,Female
South Asia (IDA & IBRD),TSA,1975,21.274169921875,Female
Turkiye,TUR,1975,45.0,Female
Uruguay,URY,1975,94.0,Female
Bolivia,BOL,1976,51.0,Female
Cameroon,CMR,1976,29.0,Female
East Asia & Pacific (excluding high income),EAP,1976,49.9351806640625,Female
Early-demographic dividend,EAR,1976,37.6319007873535,Female
East Asia & Pacific,EAS,1976,52.9263191223145,Female
"Egypt, Arab Rep.",EGY,1976,22.0,Female
IBRD only,IBD,1976,50.8727912902832,Female
IDA & IBRD total,IBT,1976,47.7967414855957,Female
"Iran, Islamic Rep.",IRN,1976,24.0,Female
Latin America & Caribbean (excluding high income),LAC,1976,75.3757171630859,Female
Latin America & Caribbean,LCN,1976,76.4456024169922,Female
Lower middle income,LMC,1976,31.7480392456055,Female
