country,year,value
Britain,1500,762
France,1500,727
Italy,1500,1100
Netherlands,1500,754
Portugal,1500,632
Spain,1500,698
China,1500,600
Britain,1700,1405
France,1700,986
Italy,1700,1100
Netherlands,1700,2110
Portugal,1700,854
Spain,1700,900
China,1700,600
Britain,1820,2121
France,1820,1230
Italy,1820,1117
Netherlands,1820,1821
Portugal,1820,963
Spain,1820,1063
China,1820,600
Britain,1913,5150
France,1913,3485
Italy,1913,2564
Netherlands,1913,4049
Portugal,1913,1244
Spain,1913,2255
China,1913,552
Britain,1950,6907
France,1950,5270
Italy,1950,3502
Netherlands,1950,5996
Portugal,1950,2069
Spain,1950,2397
China,1950,439
Britain,1998,18714
France,1998,19558
Italy,1998,17759
Netherlands,1998,20224
Portugal,1998,12929
Spain,1998,14227
China,1998,3117
