Entity,Code,Year,p99p100_share_pretax,p99p100_share_pretax_extrapolated
Canada,CAN,1900,,12
Canada,CAN,1910,,12.2
Canada,CAN,1920,,10.41
Canada,CAN,1921,13.75,13.75
Canada,CAN,1922,11.31,11.31
Canada,CAN,1923,10.43,10.43
Canada,CAN,1924,10.54,10.54
Canada,CAN,1925,9.53,9.53
Canada,CAN,1926,10.11,10.11
Canada,CAN,1927,10.599999,10.599999
Canada,CAN,1928,11.12,11.12
Canada,CAN,1929,11.38,11.38
Canada,CAN,1930,11.78,11.78
Canada,CAN,1931,12.52,12.52
Canada,CAN,1932,13.64,13.64
Canada,CAN,1933,14.110001,14.110001
Canada,CAN,1934,14.110001,14.110001
Canada,CAN,1935,12.99,12.99
Canada,CAN,1936,12.99,12.99
Canada,CAN,1937,12.24,12.24
Canada,CAN,1938,14.27,14.27
Canada,CAN,1939,12.84,12.84
Canada,CAN,1940,11,11
Canada,CAN,1941,9.72,9.72
Canada,CAN,1942,8.1,8.1
Canada,CAN,1943,7.6899996,7.6899996
Canada,CAN,1944,7.1500006,7.1500006
Canada,CAN,1945,7.27,7.27
Canada,CAN,1946,7.71,7.71
Canada,CAN,1947,7.91,7.91
Canada,CAN,1948,7.4500003,7.4500003
Canada,CAN,1949,7.7299995,7.7299995
Canada,CAN,1950,7.8500004,7.8500004
Canada,CAN,1951,7.17,7.17
Canada,CAN,1952,7.0600004,7.0600004
Canada,CAN,1953,7.1099997,7.1099997
Canada,CAN,1954,7.4900002,7.4900002
Canada,CAN,1955,7.3399997,7.3399997
Canada,CAN,1956,6.9300003,6.9300003
Canada,CAN,1957,6.99,6.99
Canada,CAN,1958,7.16,7.16
Canada,CAN,1959,7.0699997,7.0699997
Canada,CAN,1960,7.1500006,7.1500006
Canada,CAN,1961,7.27,7.27
Canada,CAN,1962,6.87,6.87
Canada,CAN,1963,6.69,6.69
Canada,CAN,1964,6.87,6.87
Canada,CAN,1965,6.7100005,6.7100005
Canada,CAN,1966,6.48,6.48
Canada,CAN,1967,6.5800004,6.5800004
Canada,CAN,1968,6.6,6.6
Canada,CAN,1969,6.6,6.6
Canada,CAN,1970,6.6200004,6.6200004
Canada,CAN,1971,6.4900002,6.4900002
Canada,CAN,1972,6.46,6.46
Canada,CAN,1973,6.6699996,6.6699996
Canada,CAN,1974,6.68,6.68
Canada,CAN,1975,7.4199996,7.4199996
Canada,CAN,1976,6.84,6.84
Canada,CAN,1977,6.53,6.53
Canada,CAN,1978,6.7000003,6.7000003
Canada,CAN,1979,7.16,7.16
Canada,CAN,1980,7.6,7.6
Canada,CAN,1981,7.08,7.08
Canada,CAN,1982,7.01,7.01
Canada,CAN,1983,7.39,7.39
Canada,CAN,1984,7.7299995,7.7299995
Canada,CAN,1985,7.66,7.66
Canada,CAN,1986,7.8100004,7.8100004
Canada,CAN,1987,8.06,8.06
Canada,CAN,1988,8.87,8.87
Canada,CAN,1989,9.4800005,9.4800005
Canada,CAN,1990,9.2699995,9.2699995
Canada,CAN,1991,9.15,9.15
Canada,CAN,1992,9.19,9.19
Canada,CAN,1993,9.570001,9.570001
Canada,CAN,1994,9.610001,9.610001
Canada,CAN,1995,9.88,9.88
Canada,CAN,1996,10.39,10.39
Canada,CAN,1997,11.13,11.13
Canada,CAN,1998,11.27,11.27
Canada,CAN,1999,11.83,11.83
Canada,CAN,2000,12.690001,12.690001
Canada,CAN,2001,12.710001,12.710001
Canada,CAN,2002,12.790001,12.790001
Canada,CAN,2003,13.06,13.06
Canada,CAN,2004,13.59,13.59
Canada,CAN,2005,14.02,14.02
Canada,CAN,2006,14.210001,14.210001
Canada,CAN,2007,14.210001,14.210001
