Entity,Code,Year,mean,990171-annotations,"GDP per capita, PPP (constant 2011 international $)",population_historical,owid_region,time,time,time,time
Albania,ALB,2022,10.27988,,11803.4305936025,2827615,Europe,2022,2023,2017,2017
Angola,AGO,2022,3.0432045,,5819.49497145261,35635028,Africa,2022,2023,2017,2018
Armenia,ARM,2022,7.7012935,,8787.57993972036,2880883,Asia,2022,2023,2017,2017
Austria,AUT,2022,56.76227,,45436.6858219914,9064679,Europe,2022,2023,2017,2017
Belarus,BLR,2022,18.572329,,17167.9672600246,9173241,Europe,2022,2023,2017,2017
Belgium,BEL,2022,49.09349,,42658.57617009,11641813,Europe,2022,2023,2017,2017
Benin,BEN,2022,4.2047243,,2064.23633398033,13759507,Africa,2022,2023,2017,2018
Bhutan,BTN,2022,8.738133,,8708.59712072611,780920,Asia,2022,2023,2017,2017
Bolivia,BOL,2022,13.302362,,6885.82857742035,12077155,South America,2022,2023,2017,2017
Brazil,BRA,2022,19.60465,,14103.4515313404,210306411,South America,2022,2023,2017,2017
Bulgaria,BGR,2022,20.479448,,18563.3066168958,6825863,Europe,2022,2023,2017,2017
Burkina Faso,BFA,2022,3.5892656,,1703.10162867752,22509037,Africa,2022,2023,2017,2018
Burundi,BDI,2022,1.7938693,,702.2253130438,13321101,Africa,2022,2023,2017,2020
Canada,CAN,2022,60.391563,,44017.5909063335,38821260,North America,2022,2023,2017,2017
Central African Republic,CAF,2022,1.8004495,,661.239967689311,5098038,Africa,2022,2023,2017,2021
Chad,TCD,2022,3.2414258,,1768.15341090621,18455319,Africa,2022,2023,2017,2018
Chile,CHL,2022,26.253595,,22767.0371912423,19553032,South America,2022,2023,2017,2017
China,CHN,2022,12.28584,,15308.712122905,1425179562,Asia,2022,2023,2017,2017
Colombia,COL,2022,14.014378,,13254.9492184779,51737944,South America,2022,2023,2017,2017
Costa Rica,CRI,2022,23.790487,,15524.9945630542,5081765,North America,2022,2023,2017,2017
Cote d'Ivoire,CIV,2022,5.3600793,,3601.00590113374,30395003,Africa,2022,2023,2017,2018
Croatia,HRV,2022,21.941683,,22669.796546633,3907031,Europe,2022,2023,2017,2017
Cyprus,CYP,2022,42.914814,,32415.1322300794,1331376,Europe,2022,2023,2017,2017
Czechia,CZE,2022,31.2182,,32605.9063265661,10673216,Europe,2022,2023,2017,2017
Democratic Republic of Congo,COD,2022,1.2945127,,808.133213366763,102396974,Africa,2022,2023,2017,2020
Denmark,DNK,2022,55.627792,,46682.5147204669,5902898,Europe,2022,2023,2017,2017
Dominican Republic,DOM,2022,14.660512,,14600.8605841474,11230734,North America,2022,2023,2017,2017
Ecuador,ECU,2022,13.859184,,10581.9364286536,17823900,South America,2022,2023,2017,2017
Egypt,EGY,2022,5.061473,,10550.2064956646,112618251,Africa,2022,2023,2017,2017
El Salvador,SLV,2022,10.147635,,7292.45780376927,6280316,North America,2022,2023,2017,2017
Estonia,EST,2022,34.356724,,29481.2518067978,1350092,Europe,2022,2023,2017,2017
Fiji,FJI,2022,6.5892706,,8702.97532202106,919428,Oceania,2022,2023,2017,2019
Finland,FIN,2022,51.350323,,40585.7210349228,5569299,Europe,2022,2023,2017,2017
France,FRA,2022,53.177265,,38605.6708967878,66277412,Europe,2022,2023,2017,2017
Gabon,GAB,2022,9.711615,,16562.4133558094,2430752,Africa,2022,2023,2017,2017
Georgia,GEO,2022,7.871355,,9745.07890399104,3794783,Asia,2022,2023,2017,2017
Germany,DEU,2022,55.51178,,45229.2452947032,84086228,Europe,2022,2023,2017,2017
Greece,GRC,2022,22.277023,,24574.382476123,10412481,Europe,2022,2023,2017,2017
Grenada,GRD,2022,17.60508,,13593.8769176008,116928,North America,2022,2023,2017,2018
Guinea,GIN,2022,3.2353513,,1998.92571988235,14055137,Africa,2022,2023,2017,2018
