Entity,Code,Year,milexgdp
China,CHN,1860,0.24383533
China,CHN,1861,0.18353027
China,CHN,1862,0.18262349
China,CHN,1863,0.21002157
China,CHN,1864,0.18479481
China,CHN,1865,0.14150798
China,CHN,1866,0.2011292
China,CHN,1867,0.2126856
China,CHN,1868,0.24243423
China,CHN,1869,0.23796108
China,CHN,1870,0.3215143
China,CHN,1871,0.33020362
China,CHN,1872,0.3511443
China,CHN,1873,0.3475393
China,CHN,1874,0.5345644
China,CHN,1875,0.42626503
China,CHN,1876,0.6393274
China,CHN,1877,0.5667532
China,CHN,1878,0.6183208
China,CHN,1879,0.5022417
China,CHN,1880,0.5984008
China,CHN,1881,0.5677982
China,CHN,1882,0.6456542
China,CHN,1883,0.73577404
China,CHN,1884,0.53162915
China,CHN,1885,0.6325752
China,CHN,1886,0.771103
China,CHN,1887,0.6102861
China,CHN,1888,0.8114636
China,CHN,1889,0.7024027
China,CHN,1890,0.6981627
China,CHN,1891,0.7068577
China,CHN,1892,0.75519866
China,CHN,1893,0.8337673
China,CHN,1894,0.7475523
China,CHN,1895,0.9533281
China,CHN,1896,0.7769452
China,CHN,1897,1.0010222
China,CHN,1898,1.7212359
China,CHN,1899,2.2555208
China,CHN,1900,1.9052224
China,CHN,1901,1.5043612
China,CHN,1902,1.8276442
China,CHN,1903,1.9981213
China,CHN,1904,1.9350191
China,CHN,1905,2.3095515
China,CHN,1906,1.947793
China,CHN,1907,2.2358396
China,CHN,1908,2.1827328
China,CHN,1909,2.5849009
China,CHN,1910,2.2251627
China,CHN,1911,2.1607168
China,CHN,1912,2.4704387
China,CHN,1913,2.9018857
China,CHN,1914,2.1858997
China,CHN,1915,3.0573335
China,CHN,1916,2.9959629
China,CHN,1917,4.1106663
China,CHN,1918,3.8183174
China,CHN,1919,3.4892256
China,CHN,1920,2.497096
China,CHN,1921,3.219643
China,CHN,1922,3.452427
China,CHN,1923,3.0460422
China,CHN,1924,2.6487308
China,CHN,1925,2.3690343
China,CHN,1926,2.0200775
China,CHN,1927,1.6342851
China,CHN,1928,1.6404678
China,CHN,1929,1.634064
China,CHN,1930,1.6701059
China,CHN,1931,1.4979844
China,CHN,1932,1.5847163
China,CHN,1933,1.9973466
China,CHN,1934,2.670687
China,CHN,1935,2.8581302
China,CHN,1936,2.84673
China,CHN,1937,3.4273188
China,CHN,1938,2.8854313
China,CHN,1939,3.2154727
China,CHN,1940,3.4966073
China,CHN,1941,3.5041869
China,CHN,1942,2.4872918
China,CHN,1943,3.5536675
China,CHN,1944,3.8251395
China,CHN,1945,5.074445
China,CHN,1946,6.0261173
China,CHN,1947,5.5022244
China,CHN,1948,7.4642167
China,CHN,1949,20.47517
China,CHN,1950,22.639563
China,CHN,1951,26.170422
China,CHN,1952,25.569063
China,CHN,1953,22.417099
China,CHN,1954,19.887293
China,CHN,1955,20.129662
China,CHN,1956,26.886427
China,CHN,1957,34.721188
China,CHN,1958,29.349285
China,CHN,1959,39.23628
China,CHN,1960,35.616398
China,CHN,1961,45.28799
China,CHN,1962,51.203434
China,CHN,1963,42.90103
China,CHN,1964,39.081184
China,CHN,1965,41.399773
China,CHN,1966,42.49938
China,CHN,1967,44.221024
China,CHN,1968,42.183357
China,CHN,1969,43.583416
China,CHN,1970,45.40699
China,CHN,1971,45.457233
China,CHN,1972,41.876972
China,CHN,1973,41.608643
China,CHN,1974,38.216587
China,CHN,1975,31.426477
China,CHN,1976,37.472622
China,CHN,1977,31.503286
China,CHN,1978,29.224539
China,CHN,1979,24.02861
China,CHN,1980,20.792246
China,CHN,1981,11.301406
China,CHN,1982,11.783285
China,CHN,1983,12.0324745
China,CHN,1984,7.7324786
China,CHN,1985,6.6443205
China,CHN,1986,4.563259
China,CHN,1987,4.212789
China,CHN,1988,4.457227
China,CHN,1989,3.9192595
China,CHN,1990,3.6791425
China,CHN,1991,4.7416973
China,CHN,1992,4.7172527
China,CHN,1993,4.050957
China,CHN,1994,2.8034103
China,CHN,1995,2.4832895
China,CHN,1996,2.4569962
China,CHN,1997,2.4347436
China,CHN,1998,2.2412643
China,CHN,1999,2.3398995
China,CHN,2000,2.4723568
China,CHN,2001,2.788562
China,CHN,2002,3.1615117
China,CHN,2003,2.761824
China,CHN,2004,2.6578372
China,CHN,2005,2.0322182
China,CHN,2006,1.4411402
China,CHN,2007,1.3299931
China,CHN,2008,1.4448493
China,CHN,2009,1.6444974
China,CHN,2010,1.4394318
China,CHN,2011,1.3797622
China,CHN,2012,1.7971324
China,CHN,2013,1.856022
China,CHN,2014,2.0304694
China,CHN,2015,2.0282078
China,CHN,2016,1.9457781
China,CHN,2017,2.19994
China,CHN,2018,2.1994321
China,CHN,2019,2.2318816
France,FRA,1816,0.99994326
France,FRA,1817,1.0535983
France,FRA,1818,0.9307771
France,FRA,1819,1.1446705
France,FRA,1820,0.99314636
France,FRA,1821,1.0950193
France,FRA,1822,1.2002385
France,FRA,1823,1.4750109
France,FRA,1824,1.6163888
France,FRA,1825,1.526175
France,FRA,1826,1.4260485
France,FRA,1827,1.395342
France,FRA,1828,1.5129807
France,FRA,1829,1.6566794
France,FRA,1830,1.6224735
France,FRA,1831,2.345442
France,FRA,1832,2.138966
France,FRA,1833,2.0732303
France,FRA,1834,1.6160852
