Term,Start Date,End Date,Result Count
mini dress,1940-01-01,1941-01-01,1
mini dress,1941-01-01,1942-01-01,2
mini dress,1942-01-01,1943-01-01,6
mini dress,1943-01-01,1944-01-01,0
mini dress,1944-01-01,1945-01-01,5
mini dress,1945-01-01,1946-01-01,6
mini dress,1946-01-01,1947-01-01,6
mini dress,1947-01-01,1948-01-01,8
mini dress,1948-01-01,1949-01-01,5
mini dress,1949-01-01,1950-01-01,2
mini dress,1950-01-01,1951-01-01,1
mini dress,1951-01-01,1952-01-01,0
mini dress,1952-01-01,1953-01-01,1
mini dress,1953-01-01,1954-01-01,0
mini dress,1954-01-01,1955-01-01,1
