Term,Start Date,End Date,Result Count
mini dress,2000-01-01,2001-01-01,18
mini dress,2001-01-01,2002-01-01,61
mini dress,2002-01-01,2003-01-01,46
mini dress,2003-01-01,2004-01-01,35
mini dress,2004-01-01,2005-01-01,48
mini dress,2005-01-01,2006-01-01,31
mini dress,2006-01-01,2007-01-01,65
mini dress,2007-01-01,2008-01-01,47
mini dress,2008-01-01,2009-01-01,43
mini dress,2009-01-01,2010-01-01,23
mini dress,2010-01-01,2011-01-01,41
mini dress,2011-01-01,2012-01-01,18
mini dress,2012-01-01,2013-01-01,27
mini dress,2013-01-01,2014-01-01,12
mini dress,2014-01-01,2015-01-01,10
