year,region,price,id
2001,2.0,1.21000005,UKI
2001,3.0,1.3099999,UKJ
2001,4.0,1.1900001,UKK
2001,5.0,1.3,UKH
2001,6.0,1.27,UKF
2001,7.0,1.3,UKG
2001,8.0,1.1900001,UKE
2001,9.0,1.23,UKD
2001,10.0,1.1900001,UKC
2001,11.0,1.23,UKL
2001,12.0,1.3500000499999998,UKM
2001,13.0,1.41,UKN
2002,2.0,1.3200001,UKI
2002,3.0,1.3200001,UKJ
2002,4.0,1.3099999,UKK
2002,5.0,1.3200001,UKH
2002,6.0,1.3200001,UKF
2002,7.0,1.3200001,UKG
2002,8.0,1.3200001,UKE
2002,9.0,1.3200001,UKD
2002,10.0,1.3099999,UKC
2002,11.0,1.3200001,UKL
2002,12.0,1.3200001,UKM
2002,13.0,1.65,UKN
2003,2.0,1.38,UKI
2003,3.0,1.45,UKJ
2003,4.0,1.38,UKK
2003,5.0,1.38,UKH
2003,6.0,1.41,UKF
2003,7.0,1.45,UKG
2003,8.0,1.41,UKE
2003,9.0,1.41,UKD
2003,10.0,1.3200001,UKC
2003,11.0,1.3200001,UKL
2003,12.0,1.3200001,UKM
2003,13.0,1.48,UKN
2004,2.0,1.3200001,UKI
2004,3.0,1.3200001,UKJ
2004,4.0,1.42,UKK
2004,5.0,1.44500005,UKH
2004,6.0,1.35500005,UKF
2004,7.0,1.3200001,UKG
2004,8.0,1.3200001,UKE
2004,9.0,1.12,UKD
2004,10.0,1.12,UKC
2004,11.0,1.12,UKL
2004,12.0,1.12,UKM
2004,13.0,1.45,UKN
2005,2.0,1.1799999,UKI
2005,3.0,1.1799999,UKJ
2005,4.0,1.1799999,UKK
2005,5.0,1.58,UKH
2005,6.0,1.12,UKF
2005,7.0,1.1799999,UKG
2005,8.0,1.12,UKE
2005,9.0,1.07,UKD
2005,10.0,1.02,UKC
2005,11.0,1.1799999,UKL
2005,12.0,1.02,UKM
2005,13.0,1.12,UKN
2006,2.0,1.38,UKI
2006,3.0,1.1799999,UKJ
2006,4.0,1.1799999,UKK
2006,5.0,1.58,UKH
2006,6.0,1.38,UKF
2006,7.0,1.1799999,UKG
2006,8.0,1.1799999,UKE
2006,9.0,1.02,UKD
2006,10.0,1.16,UKC
2006,11.0,1.38,UKL
2006,12.0,1.02,UKM
2006,13.0,1.0,UKN
2007,2.0,1.1900001,UKI
2007,3.0,1.07,UKJ
2007,4.0,1.1900001,UKK
2007,5.0,1.58,UKH
2007,6.0,1.1900001,UKF
2007,7.0,1.07499995,UKG
2007,8.0,1.1799999,UKE
2007,9.0,1.2,UKD
2007,10.0,1.1799999,UKC
2007,11.0,1.1900001,UKL
2007,12.0,1.04,UKM
2007,13.0,1.04,UKN
2008,2.0,1.38,UKI
2008,3.0,1.38,UKJ
2008,4.0,1.38,UKK
2008,5.0,1.6,UKH
2008,6.0,1.38,UKF
2008,7.0,1.3200001,UKG
2008,8.0,1.28,UKE
2008,9.0,1.28,UKD
2008,10.0,1.28,UKC
2008,11.0,1.38,UKL
2008,12.0,1.1900001,UKM
2008,13.0,1.28,UKN
2009,2.0,1.3200001,UKI
2009,3.0,1.38,UKJ
2009,4.0,1.3200001,UKK
2009,5.0,1.58,UKH
2009,6.0,1.38,UKF
2009,7.0,1.28,UKG
2009,8.0,1.28,UKE
2009,9.0,1.28,UKD
2009,10.0,1.28,UKC
2009,11.0,1.3200001,UKL
2009,12.0,1.28,UKM
2009,13.0,1.28,UKN
2010,2.0,1.4400001,UKI
2010,3.0,1.5700001,UKJ
2010,4.0,1.5700001,UKK
2010,5.0,1.6,UKH
2010,6.0,1.65,UKF
2010,7.0,1.34,UKG
2010,8.0,1.33,UKE
2010,9.0,1.28,UKD
2010,10.0,1.34,UKC
2010,11.0,1.3099999,UKL
2010,12.0,1.28,UKM
2010,13.0,1.28,UKN
2011,2.0,1.6,UKI
2011,3.0,1.625,UKJ
2011,4.0,1.52,UKK
2011,5.0,1.7,UKH
2011,6.0,1.4849999999999999,UKF
2011,7.0,1.5,UKG
2011,8.0,1.34,UKE
2011,9.0,1.25,UKD
2011,10.0,1.38,UKC
2011,11.0,1.5,UKL
2011,12.0,1.35,UKM
2011,13.0,1.33,UKN
2012,2.0,1.65,UKI
2012,3.0,1.65,UKJ
2012,4.0,1.53,UKK
2012,5.0,1.67,UKH
2012,6.0,1.65,UKF
2012,7.0,1.65,UKG
2012,8.0,1.47,UKE
2012,9.0,1.5550000000000002,UKD
2012,10.0,1.65,UKC
2012,11.0,1.65,UKL
2012,12.0,1.4299999,UKM
2012,13.0,1.47,UKN
2013,2.0,1.4299999,UKI
2013,3.0,1.4249999500000001,UKJ
2013,4.0,1.4299999,UKK
2013,5.0,1.66,UKH
