Term,Start Date,End Date,Result Count
short,1900-01-01,1901-01-01,625.0
short,1901-01-01,1902-01-01,623.0
short,1902-01-01,1903-01-01,690.0
short,1903-01-01,1904-01-01,887.0
short,1904-01-01,1905-01-01,800.0
short,1905-01-01,1906-01-01,602.0
short,1906-01-01,1907-01-01,837.0
short,1907-01-01,1908-01-01,749.0
short,1908-01-01,1909-01-01,697.0
short,1909-01-01,1910-01-01,774.0
short,1910-01-01,1911-01-01,535.0
short,1911-01-01,1912-01-01,603.0
short,1912-01-01,1913-01-01,585.0
short,1913-01-01,1914-01-01,619.0
short,1914-01-01,1915-01-01,
short,1915-01-01,1916-01-01,778.0
short,1916-01-01,1917-01-01,564.0
short,1917-01-01,1918-01-01,587.0
short,1918-01-01,1919-01-01,515.0
short,1919-01-01,1920-01-01,662.0
short,1920-01-01,1921-01-01,668.0
short,1921-01-01,1922-01-01,652.0
short,1922-01-01,1923-01-01,661.0
short,1923-01-01,1924-01-01,540.0
short,1924-01-01,1925-01-01,710.0
short,1925-01-01,1926-01-01,672.0
short,1926-01-01,1927-01-01,699.0
short,1927-01-01,1928-01-01,542.0
short,1928-01-01,1929-01-01,510.0
short,1929-01-01,1930-01-01,458.0
short,1930-01-01,1931-01-01,
short,1931-01-01,1932-01-01,536.0
short,1932-01-01,1933-01-01,453.0
short,1933-01-01,1934-01-01,360.0
short,1934-01-01,1935-01-01,403.0
short,1935-01-01,1936-01-01,352.0
short,1936-01-01,1937-01-01,480.0
short,1937-01-01,1938-01-01,516.0
short,1938-01-01,1939-01-01,372.0
short,1939-01-01,1940-01-01,338.0
short,1940-01-01,1941-01-01,339.0
short,1941-01-01,1942-01-01,350.0
short,1942-01-01,1943-01-01,428.0
short,1943-01-01,1944-01-01,557.0
short,1944-01-01,1945-01-01,488.0
short,1945-01-01,1946-01-01,413.0
short,1946-01-01,1947-01-01,530.0
short,1947-01-01,1948-01-01,578.0
short,1948-01-01,1949-01-01,416.0
short,1949-01-01,1950-01-01,486.0
short,1950-01-01,1951-01-01,729.0
short,1951-01-01,1952-01-01,690.0
short,1952-01-01,1953-01-01,459.0
short,1953-01-01,1954-01-01,461.0
short,1954-01-01,1955-01-01,475.0
short,1955-01-01,1956-01-01,500.0
short,1956-01-01,1957-01-01,
short,1957-01-01,1958-01-01,
short,1958-01-01,1959-01-01,518.0
short,1959-01-01,1960-01-01,513.0
short,1960-01-01,1961-01-01,536.0
short,1961-01-01,1962-01-01,476.0
short,1962-01-01,1963-01-01,473.0
short,1963-01-01,1964-01-01,441.0
short,1964-01-01,1965-01-01,649.0
short,1965-01-01,1966-01-01,722.0
short,1966-01-01,1967-01-01,605.0
short,1967-01-01,1968-01-01,842.0
short,1968-01-01,1969-01-01,642.0
short,1969-01-01,1970-01-01,725.0
short,1970-01-01,1971-01-01,590.0
short,1971-01-01,1972-01-01,645.0
short,1972-01-01,1973-01-01,453.0
short,1973-01-01,1974-01-01,511.0
short,1974-01-01,1975-01-01,326.0
short,1975-01-01,1976-01-01,358.0
short,1976-01-01,1977-01-01,389.0
short,1977-01-01,1978-01-01,258.0
short,1978-01-01,1979-01-01,310.0
short,1979-01-01,1980-01-01,386.0
short,1980-01-01,1981-01-01,439.0
short,1981-01-01,1982-01-01,508.0
short,1982-01-01,1983-01-01,674.0
short,1983-01-01,1984-01-01,495.0
short,1984-01-01,1985-01-01,541.0
short,1985-01-01,1986-01-01,639.0
short,1986-01-01,1987-01-01,700.0
short,1987-01-01,1988-01-01,904.0
short,1988-01-01,1989-01-01,481.0
short,1989-01-01,1990-01-01,547.0
short,1990-01-01,1991-01-01,490.0
short,1991-01-01,1992-01-01,452.0
short,1992-01-01,1993-01-01,301.0
short,1993-01-01,1994-01-01,423.0
short,1994-01-01,1995-01-01,445.0
short,1995-01-01,1996-01-01,287.0
short,1996-01-01,1997-01-01,310.0
short,1997-01-01,1998-01-01,351.0
short,1998-01-01,1999-01-01,
short,1999-01-01,2000-01-01,
short,2000-01-01,2001-01-01,
short,2001-01-01,2002-01-01,
short,2002-01-01,2003-01-01,
short,2003-01-01,2004-01-01,
short,2004-01-01,2005-01-01,
short,2005-01-01,2006-01-01,
