term,start_date,count
skirt,1900-01-01,7877.0
skirt,1910-01-01,11311.0
skirt,1920-01-01,9087.0
skirt,1930-01-01,6169.0
skirt,1940-01-01,7675.0
skirt,1950-01-01,9984.0
skirt,1960-01-01,7765.0
skirt,1970-01-01,6415.0
skirt,1980-01-01,6368.0
skirt,1990-01-01,4468.0
skirt,2000-01-01,0.0
skirt,2010-01-01,3442.0
skirt,2020-01-01,411.0
suit,1900-01-01,4413.0
suit,1910-01-01,6493.0
suit,1920-01-01,5437.0
suit,1930-01-01,6563.0
suit,1940-01-01,8240.0
suit,1950-01-01,9307.0
suit,1960-01-01,7586.0
suit,1970-01-01,3791.0
suit,1980-01-01,4669.0
suit,1990-01-01,4071.0
suit,2000-01-01,2857.0
suit,2010-01-01,1503.0
suit,2020-01-01,89.0
Shoulder Pads,1900-01-01,32.0
Shoulder Pads,1910-01-01,22.0
Shoulder Pads,1920-01-01,27.0
Shoulder Pads,1930-01-01,10.0
Shoulder Pads,1940-01-01,86.0
Shoulder Pads,1950-01-01,16.0
Shoulder Pads,1960-01-01,48.0
Shoulder Pads,1970-01-01,21.0
Shoulder Pads,1980-01-01,69.0
Shoulder Pads,1990-01-01,97.0
Shoulder Pads,2000-01-01,113.0
Shoulder Pads,2010-01-01,22.0
Shoulder Pads,2020-01-01,3.0
