year,description,price
1988,FRESH VEG-CAULIFLOWER-EACH,0.5
1989,FRESH VEG-CAULIFLOWER-EACH,0.5
1990,FRESH VEG-CAULIFLOWER-EACH,0.58999997
1991,FRESH VEG-CAULIFLOWER-EACH,0.56
1992,FRESH VEG-CAULIFLOWER-EACH,0.49000001
1993,FRESH VEG-CAULIFLOWER-EACH,0.55000001
1994,FRESH VEG-CAULIFLOWER-EACH,0.55000001
1995,FRESH VEG-CAULIFLOWER-EACH,0.60000002
1996,FRESH VEG-CAULIFLOWER-EACH,0.60000002
1997,FRESH VEG-CAULIFLOWER-EACH,0.58999997
1998,FRESH VEG-CAULIFLOWER-EACH,0.58999997
1999,FRESH VEG-CAULIFLOWER-EACH,0.58999997
2000,FRESH VEG-CAULIFLOWER-EACH,0.58999997
2001,FRESH VEG-CAULIFLOWER-EACH,0.69
2002,FRESH VEG-CAULIFLOWER-EACH,0.69
2003,FRESH VEG-CAULIFLOWER-EACH,0.77999997
2004,FRESH VEG-CAULIFLOWER-EACH,0.69
2005,FRESH VEG-CAULIFLOWER-EACH,0.77999997
2006,FRESH VEG-CAULIFLOWER-EACH,0.81
2007,FRESH VEG-CAULIFLOWER-EACH,0.88
2008,FRESH VEG-CAULIFLOWER-EACH,0.88999999
2009,FRESH VEG-CAULIFLOWER-EACH,0.88999999
2010,FRESH VEG-CAULIFLOWER-EACH,0.95999998
2011,FRESH VEG-CAULIFLOWER-EACH,1.0
2012,FRESH VEG-CAULIFLOWER-EACH,1.0
2013,FRESH VEG-CAULIFLOWER-EACH,1.0
2014,FRESH VEG-CAULIFLOWER-EACH,1.0
2015,FRESH VEG-CAULIFLOWER-EACH,1.0
2016,FRESH VEG-CAULIFLOWER-EACH,1.0
2017,FRESH VEG-CAULIFLOWER-EACH,1.0
2018,FRESH VEG-CAULIFLOWER-EACH,1.0
2019,FRESH VEG-CAULIFLOWER-EACH,1.0
2020,FRESH VEG-CAULIFLOWER-EACH,1.0
2021,FRESH VEG-CAULIFLOWER-EACH,0.94999999
2022,FRESH VEG-CAULIFLOWER-EACH,0.99000001
2023,FRESH VEG-CAULIFLOWER-EACH,1.0
2024,FRESH VEG-CAULIFLOWER-EACH,1.1900001
