year,description,price
1988.0,FRESH VEG-CAULIFLOWER-EACH,0.5
1989.0,FRESH VEG-CAULIFLOWER-EACH,0.5
1990.0,FRESH VEG-CAULIFLOWER-EACH,0.58999997
1991.0,FRESH VEG-CAULIFLOWER-EACH,0.56
1992.0,FRESH VEG-CAULIFLOWER-EACH,0.49000001
1993.0,FRESH VEG-CAULIFLOWER-EACH,0.55000001
1994.0,FRESH VEG-CAULIFLOWER-EACH,0.55000001
1995.0,FRESH VEG-CAULIFLOWER-EACH,0.60000002
1996.0,FRESH VEG-CAULIFLOWER-EACH,0.60000002
1997.0,FRESH VEG-CAULIFLOWER-EACH,0.58999997
1998.0,FRESH VEG-CAULIFLOWER-EACH,0.58999997
1999.0,FRESH VEG-CAULIFLOWER-EACH,0.58999997
2000.0,FRESH VEG-CAULIFLOWER-EACH,0.58999997
2001.0,FRESH VEG-CAULIFLOWER-EACH,0.69
2002.0,FRESH VEG-CAULIFLOWER-EACH,0.69
2003.0,FRESH VEG-CAULIFLOWER-EACH,0.77999997
2004.0,FRESH VEG-CAULIFLOWER-EACH,0.69
2005.0,FRESH VEG-CAULIFLOWER-EACH,0.77999997
2006.0,FRESH VEG-CAULIFLOWER-EACH,0.81
2007.0,FRESH VEG-CAULIFLOWER-EACH,0.88
2008.0,FRESH VEG-CAULIFLOWER-EACH,0.88999999
2009.0,FRESH VEG-CAULIFLOWER-EACH,0.88999999
2010.0,FRESH VEG-CAULIFLOWER-EACH,0.95999998
2011.0,FRESH VEG-CAULIFLOWER-EACH,1.0
2012.0,FRESH VEG-CAULIFLOWER-EACH,1.0
2013.0,FRESH VEG-CAULIFLOWER-EACH,1.0
2014.0,FRESH VEG-CAULIFLOWER-EACH,1.0
2015.0,FRESH VEG-CAULIFLOWER-EACH,1.0
2016.0,FRESH VEG-CAULIFLOWER-EACH,1.0
2017.0,FRESH VEG-CAULIFLOWER-EACH,1.0
2018.0,FRESH VEG-CAULIFLOWER-EACH,1.0
2019.0,FRESH VEG-CAULIFLOWER-EACH,1.0
2020.0,FRESH VEG-CAULIFLOWER-EACH,1.0
2021.0,FRESH VEG-CAULIFLOWER-EACH,0.94999999
2022.0,FRESH VEG-CAULIFLOWER-EACH,0.99000001
2023.0,FRESH VEG-CAULIFLOWER-EACH,1.0
2024.0,FRESH VEG-CAULIFLOWER-EACH,1.1900001
